id:ID,asOfDate,canonicalName,country,domain,exchange,label,name,nodeType,obsidianUrl,relativePath,sector,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,symbol,tags,ticker,vault,:LABEL
world:etf:ETF,2026-06-01,ETF,,Entities,,ETF,ETF,etf,obsidian://open?vault=World_Machine&file=Entities%2FETFs%2FETF.md,Entities/ETFs/ETF.md,,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\ETFs\ETF.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\ETFs\ETF.md,Entities/ETFs/ETF.md,obsidian://open?vault=World_Machine&file=Entities%2FETFs%2FETF.md,World_Machine,,ETFs,,[],,World_Machine,ETF
world:stock:ETN,2026-06-01,ETN,[[USA]],Entities,NYSE,ETN,ETN,stock,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FETN.md,Entities/Stocks/ETN.md,[[Industrials]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\ETN.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\ETN.md,Entities/Stocks/ETN.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FETN.md,World_Machine,Active,Stocks,ETN,"[""stock"",""industrials"",""electrification"",""power""]",ETN,World_Machine,ETF
