id:ID,asOfDate,canonicalName,dataType,date,domain,jurisdiction,label,name,nodeType,obsidianUrl,relativePath,sector,source,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,tags,vault,:LABEL
world:policyaction:2026-05-19-freight-broker-liability-montgomery-v-caribe,2026-06-01,2026-05-19 - Freight Broker Liability - Montgomery v Caribe,policy-observation,2026-05-19,Policy,,2026-05-19 - Freight Broker Liability - Montgomery v Caribe,2026-05-19 - Freight Broker Liability - Montgomery v Caribe,policyaction,obsidian://open?vault=World_Machine&file=Policy%2FObservations%2F2026-05-19%20-%20Freight%20Broker%20Liability%20-%20Montgomery%20v%20Caribe.md,Policy/Observations/2026-05-19 - Freight Broker Liability - Montgomery v Caribe.md,,"FreightWaves — Rob Carpenter, May 14, 2026",Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Observations\2026-05-19 - Freight Broker Liability - Montgomery v Caribe.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Observations\2026-05-19 - Freight Broker Liability - Montgomery v Caribe.md,Policy/Observations/2026-05-19 - Freight Broker Liability - Montgomery v Caribe.md,obsidian://open?vault=World_Machine&file=Policy%2FObservations%2F2026-05-19%20-%20Freight%20Broker%20Liability%20-%20Montgomery%20v%20Caribe.md,World_Machine,active,Observations,"[""policy"",""court-ruling"",""logistics"",""freight-broker"",""liability"",""regulation"",""CHR""]",World_Machine,PolicyAction
world:policyaction:congress-gov-api,2026-06-01,Congress.gov API,data-source,,Policy,,Congress.gov API,Congress.gov API,policyaction,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FCongress.gov%20API.md,Policy/_Data Sources/Congress.gov API.md,,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\Congress.gov API.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\Congress.gov API.md,Policy/_Data Sources/Congress.gov API.md,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FCongress.gov%20API.md,World_Machine,,_Data Sources,"[""data-source"",""policy"",""legislative"",""congress""]",World_Machine,PolicyAction
world:policyaction:federal-register-api,2026-06-01,Federal Register API,data-source,,Policy,,Federal Register API,Federal Register API,policyaction,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FFederal%20Register%20API.md,Policy/_Data Sources/Federal Register API.md,,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\Federal Register API.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\Federal Register API.md,Policy/_Data Sources/Federal Register API.md,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FFederal%20Register%20API.md,World_Machine,,_Data Sources,"[""data-source"",""policy"",""regulatory"",""federal-register""]",World_Machine,PolicyAction
world:policyaction:govtrack-api,2026-06-01,GovTrack API,data-source,,Policy,,GovTrack API,GovTrack API,policyaction,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FGovTrack%20API.md,Policy/_Data Sources/GovTrack API.md,,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\GovTrack API.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\GovTrack API.md,Policy/_Data Sources/GovTrack API.md,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FGovTrack%20API.md,World_Machine,,_Data Sources,"[""data-source"",""policy"",""legislative"",""prognosis""]",World_Machine,PolicyAction
world:policyaction:legiscan-api,2026-06-01,LegiScan API,data-source,,Policy,,LegiScan API,LegiScan API,policyaction,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FLegiScan%20API.md,Policy/_Data Sources/LegiScan API.md,,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\LegiScan API.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\LegiScan API.md,Policy/_Data Sources/LegiScan API.md,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FLegiScan%20API.md,World_Machine,,_Data Sources,"[""data-source"",""policy"",""state-legislative"",""alerts""]",World_Machine,PolicyAction
world:policyaction:openstates-api,2026-06-01,OpenStates API,data-source,,Policy,,OpenStates API,OpenStates API,policyaction,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FOpenStates%20API.md,Policy/_Data Sources/OpenStates API.md,,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\OpenStates API.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\OpenStates API.md,Policy/_Data Sources/OpenStates API.md,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FOpenStates%20API.md,World_Machine,,_Data Sources,"[""data-source"",""policy"",""state-legislative""]",World_Machine,PolicyAction
world:policyaction:readme,2026-06-01,_README,domain-readme,2026-05-11,Policy,,_README,_README,policyaction,obsidian://open?vault=World_Machine&file=Policy%2F_README.md,Policy/_README.md,,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_README.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_README.md,Policy/_README.md,obsidian://open?vault=World_Machine&file=Policy%2F_README.md,World_Machine,,_README.md,"[""policy"",""legislation"",""regulation"",""foresight""]",World_Machine,PolicyAction
world:policyaction:regulations-gov-api,2026-06-01,regulations.gov API,data-source,,Policy,,regulations.gov API,regulations.gov API,policyaction,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2Fregulations.gov%20API.md,Policy/_Data Sources/regulations.gov API.md,,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\regulations.gov API.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\regulations.gov API.md,Policy/_Data Sources/regulations.gov API.md,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2Fregulations.gov%20API.md,World_Machine,,_Data Sources,"[""data-source"",""policy"",""regulatory"",""comments""]",World_Machine,PolicyAction
world:policyaction:template-observation,2026-06-01,_TEMPLATE - Observation,observation,{{YYYY-MM-DD}},Policy,{{jurisdiction}},_TEMPLATE - Observation,_TEMPLATE - Observation,policyaction,obsidian://open?vault=World_Machine&file=Policy%2FObservations%2F_TEMPLATE%20-%20Observation.md,Policy/Observations/_TEMPLATE - Observation.md,{{sectors: housing|defense|tech}},,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Observations\_TEMPLATE - Observation.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Observations\_TEMPLATE - Observation.md,Policy/Observations/_TEMPLATE - Observation.md,obsidian://open?vault=World_Machine&file=Policy%2FObservations%2F_TEMPLATE%20-%20Observation.md,World_Machine,{{active|archived}},Observations,"[""#observation {{#housing #defense #tech}}""]",World_Machine,PolicyAction
