id,label,name,date,kind,status,score,route,source_count,evidence_count,summary,vault,relative_path,obsidian_url,command,tags
command:node-run-mjs-pull-event-research-scenario-fertilizer-shortage-dry-run,Command,node run.mjs pull event-research --scenario fertilizer-shortage --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs pull event-research --scenario fertilizer-shortage --dry-run,command;dry-run;review
command:node-run-mjs-pull-event-research-scenario-hormuz-oil-shock-dry-run,Command,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run,command;dry-run;review
command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,Command,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run,command;dry-run;review
command:node-run-mjs-scan-sectors-sector-healthcare-dry-run,Command,node run.mjs scan sectors --sector healthcare --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs scan sectors --sector healthcare --dry-run,command;dry-run;review
command:node-run-mjs-pull-event-research-scenario-ai-data-center-power-bottleneck-dry-run,Command,node run.mjs pull event-research --scenario ai-data-center-power-bottleneck --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs pull event-research --scenario ai-data-center-power-bottleneck --dry-run,command;dry-run;review
command:node-run-mjs-pull-event-research-scenario-copper-supply-bottleneck-dry-run,Command,node run.mjs pull event-research --scenario copper-supply-bottleneck --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs pull event-research --scenario copper-supply-bottleneck --dry-run,command;dry-run;review
command:node-run-mjs-pull-signal-intelligence-scope-all-dry-run,Command,node run.mjs pull signal-intelligence --scope all --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs pull signal-intelligence --scope all --dry-run,command;dry-run;review
command:node-run-mjs-scan-sectors-sector-industrials-dry-run,Command,node run.mjs scan sectors --sector industrials --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs scan sectors --sector industrials --dry-run,command;dry-run;review
command:node-run-mjs-scan-sectors-sector-energy-dry-run,Command,node run.mjs scan sectors --sector energy --dry-run,2026-05-25,dry-run-command,,,,,,Dry-run command for human review; does not acquire or promote automatically.,,,,node run.mjs scan sectors --sector energy --dry-run,command;dry-run;review
